index,link,lang
0,https://vietcetera.com/vn/silver-economy-khi-nguoi-cao-tuoi-ap-dao-thi-truong,vie
1,https://vtv.vn/goc-doanh-nghiep/co-hoi-trong-nen-kinh-te-bac-20241011162213178.htm,vie
2,https://vneconomy.vn/phat-trien-nen-kinh-te-bac-10-goi-mo-cho-viet-nam.htm,vie
3,https://theleader.vn/viet-nam-chuan-bi-gi-cho-nen-kinh-te-bac-d4182.html,vie
4,https://e.vnexpress.net/news/life/trend/the-irony-of-seniors-playing-around-with-social-media-4199798.html,eng
5,https://tuoitrenews.vn/news/society/20241212/can-vietnam-afford-its-elderly/83363.html,eng
6,https://en.vietnamplus.vn/vietnam-cares-for-elderly-population-post132794.vnp,eng
8,https://vietnamnet.vn/en/the-elderly-and-social-networks-810677.html,eng
9,https://en.nhandan.vn/chinh-sach-cham-soc-nguoi-cao-tuoi-567890.html,vie
10,https://nhandan.vn/hop-tac-cai-thien-kha-nang-tiep-can-dinh-duong-va-cham-soc-suc-khoe-cho-nguoi-cao-tuoi-tai-viet-nam-post862160.html,vie
11,https://nhandan.vn/co-hoi-tu-nen-kinh-te-bac-post850695.html,vie
12,https://nhandan.vn/khoi-mo-tiem-nang-nen-kinh-te-bac-post850322.html,vie
13,https://nhandan.vn/chu-tich-nuoc-luong-cuong-khi-nhac-den-phu-nu-nguoi-cao-tuoi-chung-ta-luon-tran-trong-va-tu-hao-post848937.html,vie
14,https://nhandan.vn/von-trong-dan-khoi-thong-san-xuat-post864103.html,vie
15,https://nhandan.vn/gop-phan-lam-tang-muc-sinh-thay-the-tai-viet-nam-post863403.html,vie
16,https://www.vietnamplus.vn/chu-tich-nuoc-luong-cuong-phu-nu-viet-nam-tiep-tuc-lam-rang-danh-dat-viet-post999469.vnp,vie
17,https://www.vietnamplus.vn/tao-co-hoi-de-nguoi-cao-tuoi-tham-gia-nhieu-hon-vao-hoat-dong-kinh-te-xa-hoi-post988176.vnp,vie
18,https://www.vietnamplus.vn/chuyen-doi-so-xanh-hanh-trinh-tien-phong-cua-vi-doanh-nhan-81-tuoi-post982961.vnp,vie
19,https://www.vietnamplus.vn/thach-thuc-tu-con-song-bac-doi-voi-cac-nen-kinh-te-chau-a-post930607.vnp,vie
20,https://www.vietnamplus.vn/bung-no-dich-vu-day-hoc-cho-nguoi-cao-tuoi-o-trung-quoc-post935201.vnp,vie
21,https://www.vietnamplus.vn/trung-quoc-trien-khai-bien-phap-gia-tang-ty-le-sinh-va-ho-tro-nguoi-cao-tuoi-post930935.vnp,vie
22,https://vnexpress.net/nen-kinh-te-bac-dua-vao-nguoi-gia-cua-singapore-4672010.html,vie
23,https://vnexpress.net/khach-hang-gia-va-giau-4752721.html,vie
24,https://vnexpress.net/kinh-te-toc-bac-phat-trien-o-trung-quoc-4821913.html,vie
25,https://vnexpress.net/thi-diem-mo-hinh-nguoi-gia-khoi-nghiep-thu-gom-phan-loai-rac-4852519.html,vie
26,https://vnexpress.net/de-xuat-nguoi-cao-tuoi-duoc-vay-von-tao-viec-lam-4726258.html,vie
27,https://tuoitre.vn/kinh-te-bac-o-dong-nam-a-20240607002443106.htm,vie
28,https://tuoitre.vn/dan-so-gia-di-singapore-lai-thay-la-co-hoi-tang-truong-20211101092258926.htm,vie
29,https://tuoitre.vn/tai-sao-can-tro-cap-cho-nguoi-gia-khong-co-luong-huu-20250215150523283.htm,vie
30,https://tuoitre.vn/thuc-pham-chuc-nang-quang-cao-sai-su-that-dang-nham-den-nguoi-cao-tuoi-20241207214257351.htm,vie
31,https://tuoitre.vn/nguoi-tren-75-tuoi-se-duoc-huong-tro-cap-huu-tri-the-nao-20240630143812299.htm,vie
32,https://tuoitre.vn/tp-hcm-de-xuat-mien-phi-di-metro-so-1-cho-5-nhom-doi-tuong-20241121195509084.htm,vie
33,https://tuoitre.vn/pho-bi-thu-thanh-uy-tp-hcm-nguyen-phuoc-loc-nguoi-cao-tuoi-la-von-quy-cua-gia-dinh-va-xa-hoi-20240606122227602.htm,vie
